ts,account_no,direction,amount,balance_after
2025-08-31 20:12:44.007940,V000177,OUT,20882.29,0.0
2025-08-31 20:19:56.007940,V000019,IN,386416.39,386416.39
2025-08-31 20:27:08.007940,V000004,OUT,538615.93,0.0
2025-08-31 20:34:20.007940,V000058,OUT,742332.61,0.0
2025-08-31 20:41:32.007940,V000139,IN,240202.9,240202.9
2025-08-31 20:48:44.007940,V000063,IN,390844.43,390844.43
2025-08-31 20:55:56.007940,V000172,OUT,754675.35,0.0
2025-08-31 21:03:08.007940,V000195,IN,272227.86,272227.86
2025-08-31 21:10:20.007940,V000045,OUT,562504.09,0.0
2025-08-31 21:17:32.007940,V000110,IN,64781.74,64781.74
2025-08-31 21:24:44.007940,V000005,OUT,262015.16,0.0
2025-08-31 21:31:56.007940,V000107,OUT,300925.53,0.0
2025-08-31 21:39:08.007940,V000088,OUT,785511.64,0.0
2025-08-31 21:46:20.007940,V000157,OUT,311208.68,0.0
2025-08-31 21:53:32.007940,V000159,IN,502870.07,502870.07
2025-08-31 22:00:44.007940,V000151,OUT,378519.18,0.0
2025-08-31 22:07:56.007940,V000080,OUT,371791.28,0.0
2025-08-31 22:15:08.007940,V000088,OUT,433674.12,0.0
2025-08-31 22:22:20.007940,V000084,IN,306332.83,306332.83
2025-08-31 22:29:32.007940,V000113,IN,562459.64,1149324.71
2025-08-31 22:36:44.007940,V000149,IN,437526.72,437526.72
2025-08-31 22:43:56.007940,V000088,OUT,244457.1,0.0
2025-08-31 22:51:08.007940,V000027,OUT,791560.81,0.0
2025-08-31 22:58:20.007940,V000114,IN,281966.33,656917.67
2025-08-31 23:05:32.007940,V000023,OUT,72726.82,0.0
2025-08-31 23:12:44.007940,V000142,IN,667191.47,667191.47
2025-08-31 23:19:56.007940,V000052,IN,350640.72,350640.72
2025-08-31 23:27:08.007940,V000101,IN,562935.93,562935.93
2025-08-31 23:34:20.007940,V000078,IN,210768.22,210768.22
2025-08-31 23:41:32.007940,V000084,IN,77507.48,383840.31
2025-08-31 23:48:44.007940,V000076,OUT,776067.45,0.0
2025-08-31 23:55:56.007940,V000021,IN,501768.97,501768.97
2025-09-01 00:03:08.007940,V000075,OUT,11238.94,0.0
2025-09-01 00:10:20.007940,V000029,OUT,438600.13,0.0
2025-09-01 00:17:32.007940,V000119,IN,501935.32,501935.32
2025-09-01 00:24:44.007940,V000005,IN,443462.04,443462.04
2025-09-01 00:31:56.007940,V000087,IN,157084.96,157084.96
2025-09-01 00:39:08.007940,V000104,OUT,763051.8,0.0
2025-09-01 00:46:20.007940,V000037,IN,635042.86,635042.86
2025-09-01 00:53:32.007940,V000040,IN,407381.35,407381.35
2025-09-01 01:00:44.007940,V000060,OUT,392316.23,0.0
2025-09-01 01:07:56.007940,V000174,IN,305591.43,305591.43
2025-09-01 01:15:08.007940,V000194,OUT,114822.29,0.0
2025-09-01 01:22:20.007940,V000141,IN,542649.62,1550448.3599999999
2025-09-01 01:29:32.007940,V000167,OUT,428340.38,0.0
2025-09-01 01:36:44.007940,V000091,OUT,652243.97,0.0
2025-09-01 01:43:56.007940,V000168,IN,201509.18,201509.18
2025-09-01 01:51:08.007940,V000111,IN,137789.38,137789.38
2025-09-01 01:58:20.007940,V000019,OUT,265828.34,120588.04999999999
2025-09-01 02:05:32.007940,V000036,IN,757710.74,757710.74
2025-09-01 02:12:44.007940,V000134,OUT,649570.04,0.0
2025-09-01 02:19:56.007940,V000103,IN,247137.05,247137.05
2025-09-01 02:27:08.007940,V000060,OUT,443548.09,0.0
2025-09-01 02:34:20.007940,V000150,OUT,530678.15,0.0
2025-09-01 02:41:32.007940,V000200,IN,659016.37,682203.25
2025-09-01 02:48:44.007940,V000150,OUT,508173.27,0.0
2025-09-01 02:55:56.007940,V000010,OUT,393931.89,0.0
2025-09-01 03:03:08.007940,V000023,OUT,20773.25,0.0
2025-09-01 03:10:20.007940,V000112,IN,425844.23,425844.23
2025-09-01 03:17:32.007940,V000005,OUT,335583.01,107879.02999999997
2025-09-01 03:24:44.007940,V000144,OUT,400738.1,0.0
2025-09-01 03:31:56.007940,V000193,OUT,546332.99,0.0
2025-09-01 03:39:08.007940,V000072,OUT,660153.11,0.0
2025-09-01 03:46:20.007940,V000156,IN,392775.78,392775.78
2025-09-01 03:53:32.007940,V000043,OUT,411648.61,0.0
2025-09-01 04:00:44.007940,V000103,OUT,13877.77,233259.28
2025-09-01 04:07:56.007940,V000171,OUT,178767.36,0.0
2025-09-01 04:15:08.007940,V000053,OUT,179919.73,0.0
2025-09-01 04:22:20.007940,V000026,IN,449646.78,449646.78
2025-09-01 04:29:32.007940,V000100,OUT,470698.76,0.0
2025-09-01 04:36:44.007940,V000169,IN,17860.18,17860.18
2025-09-01 04:43:56.007940,V000085,IN,256787.03,256787.03
2025-09-01 04:51:08.007940,V000156,IN,382829.34,775605.1200000001
2025-09-01 04:58:20.007940,V000086,OUT,793976.73,0.0
2025-09-01 05:05:32.007940,V000197,OUT,580019.54,0.0
2025-09-01 05:12:44.007940,V000144,OUT,98031.86,0.0
2025-09-01 05:19:56.007940,V000152,IN,46139.88,46139.88
2025-09-01 05:27:08.007940,V000052,OUT,49450.92,301189.8
2025-09-01 05:34:20.007940,V000062,OUT,789773.97,0.0
2025-09-01 05:41:32.007940,V000002,IN,52778.25,52778.25
2025-09-01 05:48:44.007940,V000004,OUT,391636.56,0.0
2025-09-01 05:55:56.007940,V000049,OUT,189127.61,0.0
2025-09-01 06:03:08.007940,V000124,OUT,74160.63,0.0
2025-09-01 06:10:20.007940,V000046,OUT,451272.01,0.0
2025-09-01 06:17:32.007940,V000072,OUT,101426.9,0.0
2025-09-01 06:24:44.007940,V000074,OUT,32264.9,0.0
2025-09-01 06:31:56.007940,V000095,OUT,144748.3,0.0
2025-09-01 06:39:08.007940,V000145,IN,500177.95,500177.95
2025-09-01 06:46:20.007940,V000138,OUT,367422.83,368523.23000000004
2025-09-01 06:53:32.007940,V000129,OUT,745804.91,0.0
2025-09-01 07:00:44.007940,V000157,OUT,384553.96,0.0
2025-09-01 07:07:56.007940,V000100,IN,3528.84,3528.84
2025-09-01 07:15:08.007940,V000103,OUT,289901.12,0.0
2025-09-01 07:22:20.007940,V000057,IN,549764.11,549764.11
2025-09-01 07:29:32.007940,V000067,OUT,576514.1,0.0
2025-09-01 07:36:44.007940,V000001,OUT,725032.38,0.0
2025-09-01 07:43:56.007940,V000160,OUT,395681.45,0.0
2025-09-01 07:51:08.007940,V000145,IN,712319.58,1212497.53
2025-09-01 07:58:20.007940,V000107,OUT,186996.07,0.0
2025-09-01 08:05:32.007940,V000159,IN,134657.13,637527.2
2025-09-01 08:12:44.007940,V000029,IN,710602.88,710602.88
2025-09-01 08:19:56.007940,V000141,OUT,713261.18,837187.18
2025-09-01 08:27:08.007940,V000171,IN,315930.67,315930.67
2025-09-01 08:34:20.007940,V000178,IN,16409.85,16409.85
2025-09-01 08:41:32.007940,V000173,IN,551643.54,551643.54
2025-09-01 08:48:44.007940,V000188,OUT,448939.25,0.0
2025-09-01 08:55:56.007940,V000031,OUT,276456.43,0.0
2025-09-01 09:03:08.007940,V000108,OUT,484981.57,0.0
2025-09-01 09:10:20.007940,V000196,IN,370979.65,370979.65
2025-09-01 09:17:32.007940,V000127,OUT,559283.59,0.0
2025-09-01 09:24:44.007940,V000077,IN,400360.9,400360.9
2025-09-01 09:31:56.007940,V000185,OUT,193530.51,0.0
2025-09-01 09:39:08.007940,V000040,IN,49815.78,457197.13
2025-09-01 09:46:20.007940,V000054,IN,368394.33,368394.33
2025-09-01 09:53:32.007940,V000020,OUT,538276.6,0.0
2025-09-01 10:00:44.007940,V000025,IN,209624.14,209624.14
2025-09-01 10:07:56.007940,V000173,IN,545778.55,1097422.09
2025-09-01 10:15:08.007940,V000080,IN,405517.26,405517.26
2025-09-01 10:22:20.007940,V000131,OUT,724833.34,0.0
2025-09-01 10:29:32.007940,V000040,OUT,579698.3,0.0
2025-09-01 10:36:44.007940,V000018,IN,191896.15,191896.15
2025-09-01 10:43:56.007940,V000200,OUT,481805.3,200397.95
2025-09-01 10:51:08.007940,V000003,OUT,601698.34,0.0
2025-09-01 10:58:20.007940,V000146,OUT,290281.38,0.0
2025-09-01 11:05:32.007940,V000084,IN,148067.46,531907.77
2025-09-01 11:12:44.007940,V000192,IN,732792.81,732792.81
2025-09-01 11:19:56.007940,V000154,IN,551208.22,551208.22
2025-09-01 11:27:08.007940,V000167,OUT,163827.72,0.0
2025-09-01 11:34:20.007940,V000158,IN,439651.49,439651.49
2025-09-01 11:41:32.007940,V000053,IN,418727.38,418727.38
2025-09-01 11:48:44.007940,V000189,OUT,607780.8,0.0
2025-09-01 11:55:56.007940,V000120,IN,144219.27,144219.27
2025-09-01 12:03:08.007940,V000035,OUT,114999.5,0.0
2025-09-01 12:10:20.007940,V000153,OUT,760975.22,0.0
2025-09-01 12:17:32.007940,V000170,IN,406349.14,406349.14
2025-09-01 12:24:44.007940,V000159,IN,52323.55,689850.75
2025-09-01 12:31:56.007940,V000160,IN,192508.06,192508.06
2025-09-01 12:39:08.007940,V000022,IN,231277.18,231277.18
2025-09-01 12:46:20.007940,V000108,OUT,7265.24,0.0
2025-09-01 12:53:32.007940,V000165,OUT,765367.21,0.0
2025-09-01 13:00:44.007940,V000087,OUT,93409.67,63675.28999999999
2025-09-01 13:07:56.007940,V000007,OUT,607104.09,0.0
2025-09-01 13:15:08.007940,V000132,OUT,494731.55,0.0
2025-09-01 13:22:20.007940,V000071,OUT,496461.43,0.0
2025-09-01 13:29:32.007940,V000088,OUT,293876.46,0.0
2025-09-01 13:36:44.007940,V000131,IN,760622.71,760622.71
2025-09-01 13:43:56.007940,V000064,OUT,324303.22,0.0
2025-09-01 13:51:08.007940,V000151,OUT,99985.55,0.0
2025-09-01 13:58:20.007940,V000074,IN,351682.66,351682.66
2025-09-01 14:05:32.007940,V000040,IN,448703.26,448703.26
2025-09-01 14:12:44.007940,V000189,IN,689619.26,689619.26
2025-09-01 14:19:56.007940,V000070,OUT,548921.37,0.0
2025-09-01 14:27:08.007940,V000006,OUT,536482.84,0.0
2025-09-01 14:34:20.007940,V000156,OUT,403356.66,372248.46
2025-09-01 14:41:32.007940,V000053,IN,727417.74,1146145.12
2025-09-01 14:48:44.007940,V000060,IN,221466.66,221466.66
2025-09-01 14:55:56.007940,V000053,OUT,706302.5,439842.6200000001
2025-09-01 15:03:08.007940,V000117,IN,498233.12,1053068.74
2025-09-01 15:10:20.007940,V000178,OUT,293440.15,0.0
2025-09-01 15:17:32.007940,V000099,OUT,174709.46,0.0
2025-09-01 15:24:44.007940,V000148,OUT,358710.0,0.0
2025-09-01 15:31:56.007940,V000142,OUT,65917.44,601274.03
2025-09-01 15:39:08.007940,V000154,OUT,548086.09,3122.1300000000047
2025-09-01 15:46:20.007940,V000086,OUT,277928.55,0.0
2025-09-01 15:53:32.007940,V000014,IN,489718.77,933962.94
2025-09-01 16:00:44.007940,V000050,OUT,154130.41,0.0
2025-09-01 16:07:56.007940,V000177,IN,372234.64,372234.64
2025-09-01 16:15:08.007940,V000085,IN,105207.35,361994.38
2025-09-01 16:22:20.007940,V000014,OUT,185081.88,748881.0599999999
2025-09-01 16:29:32.007940,V000002,OUT,462666.12,0.0
2025-09-01 16:36:44.007940,V000140,IN,166310.26,166310.26
2025-09-01 16:43:56.007940,V000121,OUT,109508.62,0.0
2025-09-01 16:51:08.007940,V000061,OUT,429492.45,0.0
2025-09-01 16:58:20.007940,V000190,IN,578980.48,578980.48
2025-09-01 17:05:32.007940,V000180,OUT,607630.52,0.0
2025-09-01 17:12:44.007940,V000034,OUT,302707.63,0.0
2025-09-01 17:19:56.007940,V000040,IN,150737.02,599440.28
2025-09-01 17:27:08.007940,V000054,OUT,647580.9,0.0
2025-09-01 17:34:20.007940,V000058,IN,420593.53,420593.53
2025-09-01 17:41:32.007940,V000140,OUT,522335.72,0.0
2025-09-01 17:48:44.007940,V000039,OUT,685065.91,0.0
2025-09-01 17:55:56.007940,V000002,IN,722734.23,722734.23
2025-09-01 18:03:08.007940,V000080,IN,149104.49,554621.75
2025-09-01 18:10:20.007940,V000170,IN,423538.66,829887.8
2025-09-01 18:17:32.007940,V000046,IN,237824.34,237824.34
2025-09-01 18:24:44.007940,V000081,OUT,371425.62,0.0
2025-09-01 18:31:56.007940,V000076,OUT,40320.41,0.0
2025-09-01 18:39:08.007940,V000017,IN,613230.59,613230.59
2025-09-01 18:46:20.007940,V000192,OUT,469225.47,263567.3400000001
2025-09-01 18:53:32.007940,V000182,IN,128277.36,128277.36
2025-09-01 19:00:44.007940,V000129,IN,235583.33,235583.33
2025-09-01 19:07:56.007940,V000054,IN,488059.82,488059.82
2025-09-01 19:15:08.007940,V000176,IN,193267.42,193267.42
2025-09-01 19:22:20.007940,V000169,OUT,758202.07,0.0
2025-09-01 19:29:32.007940,V000124,IN,395522.54,395522.54
2025-09-01 19:36:44.007940,V000171,OUT,296680.27,19250.399999999965
2025-09-01 19:43:56.007940,V000103,OUT,798540.61,0.0
2025-09-01 19:51:08.007940,V000108,IN,696346.48,696346.48
2025-09-01 19:58:20.007940,V000044,IN,50468.38,50468.38
2025-09-01 20:05:32.007940,V000064,IN,83398.8,83398.8
2025-09-01 20:12:44.007940,V000065,OUT,742546.93,0.0
2025-09-01 20:19:56.007940,V000136,IN,478955.15,478955.15
2025-09-01 20:27:08.007940,V000113,IN,284121.58,1433446.29
2025-09-01 20:34:20.007940,V000189,IN,641545.29,1331164.55
2025-09-01 20:41:32.007940,V000160,IN,324195.03,516703.09
2025-09-01 20:48:44.007940,V000129,OUT,126191.09,109392.23999999999
2025-09-01 20:55:56.007940,V000073,IN,748655.76,748655.76
2025-09-01 21:03:08.007940,V000052,IN,366943.3,668133.1
2025-09-01 21:10:20.007940,V000056,OUT,665719.76,0.0
2025-09-01 21:17:32.007940,V000035,IN,570177.41,570177.41
2025-09-01 21:24:44.007940,V000192,OUT,244027.06,19540.280000000028
2025-09-01 21:31:56.007940,V000143,IN,158334.83,158334.83
2025-09-01 21:39:08.007940,V000112,IN,733883.86,1159728.0899999999
2025-09-01 21:46:20.007940,V000092,IN,755544.19,1111401.58
2025-09-01 21:53:32.007940,V000028,OUT,574859.72,0.0
2025-09-01 22:00:44.007940,V000132,IN,550823.9,550823.9
2025-09-01 22:07:56.007940,V000013,IN,204962.69,204962.69
2025-09-01 22:15:08.007940,V000049,IN,305588.08,305588.08
2025-09-01 22:22:20.007940,V000020,IN,444075.31,444075.31
2025-09-01 22:29:32.007940,V000147,IN,448462.1,448462.1
2025-09-01 22:36:44.007940,V000182,OUT,744204.15,0.0
2025-09-01 22:43:56.007940,V000044,IN,567905.49,618373.87
2025-09-01 22:51:08.007940,V000090,OUT,446452.91,0.0
2025-09-01 22:58:20.007940,V000170,OUT,585180.99,244706.81000000006
2025-09-01 23:05:32.007940,V000158,OUT,756188.29,0.0
2025-09-01 23:12:44.007940,V000020,OUT,218389.99,225685.32
2025-09-01 23:19:56.007940,V000088,IN,300665.51,300665.51
2025-09-01 23:27:08.007940,V000142,IN,744445.1,1345719.13
2025-09-01 23:34:20.007940,V000162,IN,231154.77,231154.77
2025-09-01 23:41:32.007940,V000112,IN,660224.83,1819952.92
2025-09-01 23:48:44.007940,V000200,OUT,515741.13,0.0
2025-09-01 23:55:56.007940,V000043,IN,596381.38,596381.38
2025-09-02 00:03:08.007940,V000025,OUT,759488.43,0.0
2025-09-02 00:10:20.007940,V000100,OUT,244949.45,0.0
2025-09-02 00:17:32.007940,V000016,IN,120265.93,120265.93
2025-09-02 00:24:44.007940,V000187,IN,795148.35,795148.35
2025-09-02 00:31:56.007940,V000047,IN,182817.83,182817.83
2025-09-02 00:39:08.007940,V000038,OUT,158280.65,0.0
2025-09-02 00:46:20.007940,V000136,OUT,468108.49,10846.660000000033
2025-09-02 00:53:32.007940,V000106,OUT,395062.75,0.0
2025-09-02 01:00:44.007940,V000113,OUT,705705.18,727741.11
2025-09-02 01:07:56.007940,V000177,IN,98728.97,470963.61
2025-09-02 01:15:08.007940,V000044,OUT,774789.38,0.0
2025-09-02 01:22:20.007940,V000048,IN,466462.61,466462.61
2025-09-02 01:29:32.007940,V000028,IN,128174.4,128174.4
2025-09-02 01:36:44.007940,V000157,IN,319789.84,319789.84
2025-09-02 01:43:56.007940,V000031,IN,592095.19,592095.19
2025-09-02 01:51:08.007940,V000170,OUT,603357.57,0.0
2025-09-02 01:58:20.007940,V000160,IN,720631.93,1237335.02
2025-09-02 02:05:32.007940,V000092,IN,461047.36,1572448.94
2025-09-02 02:12:44.007940,V000158,OUT,648302.68,0.0
2025-09-02 02:19:56.007940,V000179,OUT,491402.32,0.0
2025-09-02 02:27:08.007940,V000198,OUT,749879.07,0.0
2025-09-02 02:34:20.007940,V000062,IN,292056.25,292056.25
2025-09-02 02:41:32.007940,V000150,IN,255389.44,255389.44
2025-09-02 02:48:44.007940,V000006,IN,228650.66,228650.66
2025-09-02 02:55:56.007940,V000077,IN,510438.63,910799.53
2025-09-02 03:03:08.007940,V000011,IN,767611.2,920778.27
2025-09-02 03:10:20.007940,V000066,OUT,669834.41,0.0
2025-09-02 03:17:32.007940,V000132,OUT,478929.32,71894.58000000002
2025-09-02 03:24:44.007940,V000088,OUT,11352.22,289313.29000000004
2025-09-02 03:31:56.007940,V000106,IN,644089.22,644089.22
2025-09-02 03:39:08.007940,V000116,IN,226534.49,226534.49
2025-09-02 03:46:20.007940,V000111,OUT,152122.13,0.0
2025-09-02 03:53:32.007940,V000057,OUT,495095.46,54668.649999999965
2025-09-02 04:00:44.007940,V000030,OUT,620708.83,0.0
2025-09-02 04:07:56.007940,V000111,IN,707251.82,707251.82
2025-09-02 04:15:08.007940,V000109,IN,618198.85,618198.85
2025-09-02 04:22:20.007940,V000123,OUT,400258.24,0.0
2025-09-02 04:29:32.007940,V000014,OUT,386670.03,362211.03
2025-09-02 04:36:44.007940,V000173,IN,127905.36,1225327.4500000002
2025-09-02 04:43:56.007940,V000193,IN,617366.72,617366.72
2025-09-02 04:51:08.007940,V000170,IN,125242.71,125242.71
2025-09-02 04:58:20.007940,V000011,OUT,164140.8,756637.47
2025-09-02 05:05:32.007940,V000113,OUT,640158.57,87582.54000000004
2025-09-02 05:12:44.007940,V000085,OUT,389929.73,0.0
2025-09-02 05:19:56.007940,V000057,IN,1115.54,55784.19
2025-09-02 05:27:08.007940,V000049,OUT,521745.27,0.0
2025-09-02 05:34:20.007940,V000042,OUT,687899.07,0.0
2025-09-02 05:41:32.007940,V000063,IN,247495.25,638339.6799999999
2025-09-02 05:48:44.007940,V000063,OUT,360484.31,277855.37000000005
2025-09-02 05:55:56.007940,V000126,OUT,80666.01,0.0
2025-09-02 06:03:08.007940,V000028,OUT,632720.76,0.0
2025-09-02 06:10:20.007940,V000172,OUT,89985.1,0.0
2025-09-02 06:17:32.007940,V000135,IN,230313.34,230313.34
2025-09-02 06:24:44.007940,V000080,OUT,413318.49,141303.26
2025-09-02 06:31:56.007940,V000142,OUT,583526.92,762192.2099999998
2025-09-02 06:39:08.007940,V000090,IN,192893.28,192893.28
2025-09-02 06:46:20.007940,V000055,OUT,449753.13,0.0
2025-09-02 06:53:32.007940,V000079,IN,236984.59,236984.59
2025-09-02 07:00:44.007940,V000088,IN,318257.19,607570.48
2025-09-02 07:07:56.007940,V000168,OUT,404601.69,0.0
2025-09-02 07:15:08.007940,V000025,IN,434242.57,434242.57
2025-09-02 07:22:20.007940,V000139,IN,136082.93,376285.82999999996
2025-09-02 07:29:32.007940,V000078,OUT,611262.86,0.0
2025-09-02 07:36:44.007940,V000058,OUT,701003.77,0.0
2025-09-02 07:43:56.007940,V000098,IN,234209.48,234209.48
2025-09-02 07:51:08.007940,V000131,IN,205012.41,965635.12
2025-09-02 07:58:20.007940,V000114,IN,414263.73,1071181.4
2025-09-02 08:05:32.007940,V000173,OUT,614244.34,611083.11
2025-09-02 08:12:44.007940,V000038,OUT,718408.71,0.0
2025-09-02 08:19:56.007940,V000123,OUT,454578.4,0.0
2025-09-02 08:27:08.007940,V000111,IN,27664.27,734916.09
2025-09-02 08:34:20.007940,V000138,OUT,284541.23,83982.0
2025-09-02 08:41:32.007940,V000027,OUT,115843.1,0.0
2025-09-02 08:48:44.007940,V000001,OUT,631243.01,0.0
2025-09-02 08:55:56.007940,V000123,OUT,80216.79,0.0
2025-09-02 09:03:08.007940,V000143,IN,193208.19,351543.02
2025-09-02 09:10:20.007940,V000182,IN,439825.53,439825.53
2025-09-02 09:17:32.007940,V000092,IN,18950.45,1591399.39
2025-09-02 09:24:44.007940,V000126,IN,287678.82,287678.82
2025-09-02 09:31:56.007940,V000064,OUT,649769.0,0.0
2025-09-02 09:39:08.007940,V000147,OUT,213825.1,234636.99999999997
2025-09-02 09:46:20.007940,V000177,IN,507624.4,978588.01
2025-09-02 09:53:32.007940,V000050,OUT,740300.37,0.0
2025-09-02 10:00:44.007940,V000062,IN,109315.94,401372.19
2025-09-02 10:07:56.007940,V000016,IN,74203.63,194469.56
2025-09-02 10:15:08.007940,V000128,IN,366857.27,366857.27
2025-09-02 10:22:20.007940,V000132,IN,474417.37,546311.95
2025-09-02 10:29:32.007940,V000099,OUT,212675.64,0.0
2025-09-02 10:36:44.007940,V000072,OUT,393520.13,0.0
2025-09-02 10:43:56.007940,V000067,OUT,263738.87,0.0
2025-09-02 10:51:08.007940,V000056,IN,368382.99,368382.99
2025-09-02 10:58:20.007940,V000173,IN,97659.55,708742.66
2025-09-02 11:05:32.007940,V000065,IN,220760.45,220760.45
2025-09-02 11:12:44.007940,V000041,IN,447715.79,447715.79
2025-09-02 11:19:56.007940,V000158,IN,234147.29,234147.29
2025-09-02 11:27:08.007940,V000131,IN,726710.87,1692345.99
2025-09-02 11:34:20.007940,V000049,IN,378408.69,378408.69
2025-09-02 11:41:32.007940,V000009,IN,212410.01,212410.01
2025-09-02 11:48:44.007940,V000100,OUT,94128.05,0.0
2025-09-02 11:55:56.007940,V000183,OUT,293427.25,0.0
2025-09-02 12:03:08.007940,V000094,IN,419593.96,419593.96
2025-09-02 12:10:20.007940,V000125,IN,491718.23,937083.79
2025-09-02 12:17:32.007940,V000198,IN,137422.72,137422.72
2025-09-02 12:24:44.007940,V000098,OUT,114149.84,120059.64000000001
2025-09-02 12:31:56.007940,V000087,IN,44478.67,108153.95999999999
2025-09-02 12:39:08.007940,V000178,OUT,537246.36,0.0
2025-09-02 12:46:20.007940,V000075,IN,433134.91,433134.91
2025-09-02 12:53:32.007940,V000102,OUT,794388.15,0.0
2025-09-02 13:00:44.007940,V000113,OUT,577774.92,0.0
2025-09-02 13:07:56.007940,V000056,OUT,57377.58,311005.41
2025-09-02 13:15:08.007940,V000059,IN,158405.21,234599.43
2025-09-02 13:22:20.007940,V000133,OUT,462960.48,0.0
2025-09-02 13:29:32.007940,V000135,OUT,627614.08,0.0
2025-09-02 13:36:44.007940,V000080,OUT,143835.17,0.0
2025-09-02 13:43:56.007940,V000133,IN,561964.17,561964.17
2025-09-02 13:51:08.007940,V000062,OUT,379422.77,21949.419999999984
2025-09-02 13:58:20.007940,V000105,OUT,711284.44,0.0
2025-09-02 14:05:32.007940,V000038,OUT,419534.82,0.0
2025-09-02 14:12:44.007940,V000191,OUT,248861.23,0.0
2025-09-02 14:19:56.007940,V000068,OUT,364328.47,0.0
2025-09-02 14:27:08.007940,V000084,IN,46724.24,578632.01
2025-09-02 14:34:20.007940,V000093,IN,185479.06,718704.8600000001
2025-09-02 14:41:32.007940,V000071,OUT,339873.69,0.0
2025-09-02 14:48:44.007940,V000075,OUT,709686.18,0.0
2025-09-02 14:55:56.007940,V000176,OUT,300375.82,0.0
2025-09-02 15:03:08.007940,V000004,IN,6220.51,6220.51
2025-09-02 15:10:20.007940,V000104,OUT,344026.12,0.0
2025-09-02 15:17:32.007940,V000163,IN,354180.85,354180.85
2025-09-02 15:24:44.007940,V000100,IN,641518.38,641518.38
